elo_diff,winrate_30d_diff,form_diff,h2h_winrate_a,ranking_diff,map_winrate_diff,days_since_last_diff,lineup_age_diff,team_a_won,date,team_a,team_b,winner,event
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-17 02:30:00+00:00,The MongolZ,Chinggis Warriors,team1,MESA Pro Series Finals 2024
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-17 05:00:00+00:00,ATOX,The Huns,team1,MESA Pro Series Finals 2024
-30.593504286177676,0.0,0.0,0.0,0.30593504286177675,0.0,0,-1,0,2024-05-17 05:30:00+00:00,SAW,Aurora,team2,CCT Global Finals 2024
16.0,0.0,-0.5,0.5,-0.16,0.0,-13,1,0,2024-05-17 07:00:00+00:00,Passion UA,Nexus,team1,CCT Season 2 Europe Series 3
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-17 08:00:00+00:00,Falcons,Virtus.pro,team1,BetBoom Dacha Belgrade 2024
0.0,0.0,0.0,0.5,0.0,0.0,1,1,0,2024-05-17 08:00:00+00:00,3DMAX,B8,team2,RES Regional Series 4 Europe
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-17 08:15:00+00:00,Rebels,Gaimin Gladiators,team1,Elisa Invitational Spring 2024
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-17 09:15:00+00:00,ENCE,fnatic,team2,CCT Global Finals 2024
-32.70246717252462,0.0,0.0,0.0,0.3270246717252462,0.0,1,0,0,2024-05-17 11:45:00+00:00,HEROIC,MIBR,team1,BetBoom Dacha Belgrade 2024
-16.0,0.0,0.0,0.0,0.16,0.0,-1,0,0,2024-05-17 11:55:00+00:00,MASONIC,CPH Wolves,team2,CCT Season 2 Europe Series 4 Closed Qualifier
16.0,0.0,-0.5,0.5,-0.16,0.0,-14,0,0,2024-05-17 12:00:00+00:00,Gaimin Gladiators,GamerLegion,team2,CCT Global Finals 2024
1.275920518803332,0.0,0.0,0.5,-0.01275920518803332,0.0,1,0,0,2024-05-17 14:00:00+00:00,Sharks,ODDIK,team2,CBCS Season 4
-31.197506824084257,0.0,0.0,0.5,0.3119750682408426,0.0,1,0,0,2024-05-17 14:00:00+00:00,Zero Tenacity,PARIVISION,team2,RES Regional Series 4 Europe
-15.26369320647791,0.0,0.0,0.5,0.1526369320647791,0.0,0,0,0,2024-05-17 16:30:00+00:00,ENCE,Gaimin Gladiators,team1,CCT Global Finals 2024
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-17 18:00:00+00:00,BOSS,NRG,team2,NA Revival Cup 2024
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-17 20:00:00+00:00,M80,regain,team1,NA Revival Cup 2024
0.0,0.0,0.0,0.5,0.0,0.0,1,1,0,2024-05-18 04:00:00+00:00,The MongolZ,ATOX,team1,MESA Pro Series Finals 2024
-0.7363067935220897,0.0,0.0,0.5,0.007363067935220897,0.0,0,0,0,2024-05-18 05:30:00+00:00,fnatic,GamerLegion,team2,CCT Global Finals 2024
16.0,0.0,0.0,0.5,-0.16,0.0,0,2,0,2024-05-18 06:00:00+00:00,B8,Rebels,team1,Elisa Invitational Spring 2024
-32.0,0.0,0.0,0.5,0.32,0.0,0,1,0,2024-05-18 08:00:00+00:00,Spirit,Falcons,team1,BetBoom Dacha Belgrade 2024
-31.26369320647791,0.0,0.5,0.5,0.3126369320647791,0.0,14,-2,0,2024-05-18 08:00:00+00:00,VP.Prodigy,CPH Wolves,team1,CCT Season 2 Europe Series 4 Closed Qualifier
0.0,0.0,0.0,0.5,0.0,0.0,1,1,0,2024-05-18 08:00:00+00:00,Rare Atom,Sangal,team2,RES Regional Series 4 Europe
0.7701398146427891,0.0,0.0,0.5,-0.0077013981464278914,0.0,0,0,0,2024-05-18 09:00:00+00:00,Monte,Sashi,team2,Elisa Invitational Spring 2024
-31.331440957644645,0.0,0.0,0.0,0.31331440957644646,0.0,0,0,0,2024-05-18 09:30:00+00:00,ENCE,fnatic,team1,CCT Global Finals 2024
